Group,Average,CV
pain,245536.3333,2.139157387
pain,709217.6667,0.471783052
pain,2614030,2.455099298
pain,2368982.667,0.955980118
pain,346002.6667,2.685590282
pain,22605973,1.692622741
pain,24175518.33,0.938395114
pain,17666885.67,2.93791919
pain,4036590.333,4.009239697
pain,11929.33333,30.42375632
pain,2389119.667,2.47100241
pain,599766,1.075770665
pain,920623,4.967507897
pain,300108.3333,2.107508288
pain,140474845.3,0.717467234
pain,63588263.67,1.378012223
pain,114462928.7,1.488397052
pain,313527,3.633226953
pain,515492.3333,3.622332664
pain,2136649.667,2.787347018
pain,1472526.333,5.263532748
pain,4670725.333,3.192463313
pain,4511154.333,0.137982955
pain,94246438.33,0.788353369
pain,43814239.33,1.460379271
pain,587379,8.616322911
pain,175109,6.968765779
pain,26965.33333,29.56504904
pain,455334.3333,1.593091262
pain,35215.66667,6.620347839
pain,117653.3333,2.555943034
pain,418547.6667,2.506816611
pain,611821.6667,0.318270245
pain,363285,2.339923886
pain,60495.66667,7.102802392
pain,470199.6667,14.39461358
pain,473784,2.428186803
pain,12605342.33,1.624589733
pain,8399786.333,4.951562616
pain,13756513,1.499135318
pain,17818.33333,6.24321615
pain,58667.66667,9.367336534
pain,2419587,1.973409243
pain,170580.6667,13.06085087
pain,5629684.667,2.38257086
pain,4223366,2.036920422
pain,942946,4.394648435
pain,2001609.333,10.46392385
pain,276156.3333,2.674287253
pain,114955.6667,5.742840252
pain,25202.33333,2.578831885
pain,15799.66667,0.268543803
pain,272570.6667,22.38044225
pain,274334.6667,8.389667526
pain,53976.66667,10.74262644
pain,1003647.333,4.338452325
pain,2305792.333,1.594146671
pain,186297,5.396355638
pain,143242.6667,0.399081583
pain,77525,3.030299196
pain,1143234.667,3.094075986
pain,1145802.667,8.587090747
pain,289186.6667,4.138089616
pain,335362,2.127207236
pain,59342,7.044267408
pain,111896.3333,1.51082534
pain,47393.33333,3.338404695
pain,1409289,0.621642704
pain,170600.3333,5.297088201
pain,47333,20.09021274
pain,39093248,0.712355452
pain,213365070.3,10.77379731
pain,406460.6667,0.747562845
pain,734258.3333,2.605152346
pain,2309253.333,6.805839142
pain,1931885.333,2.841642437
pain,125181.6667,6.107911322
pain,18065,30.46601167
pain,643016.6667,0.796817533
pain,1400499.333,1.788138237
pain,38736,2.003132529
pain,71906.66667,15.9133149
pain,34521.33333,2.995376625
pain,57962.33333,6.883765616
pain,796408,2.067385315
pain,1675762.667,1.882547919
pain,89413.33333,1.420327645
pain,8937.666667,18.80677806
pain,1398605,5.058808878
pain,1184523,3.009237433
pain,41672.66667,5.853837664
pain,135819.6667,1.97028025
pain,22032,14.39431005
pain,67525.33333,2.544641266
pain,30766.66667,7.98128009
pain,467276,4.6536782
pain,4608525.667,1.968420813
pain,77296.66667,5.212252762
pain,368927,1.575705326
pain,50446.66667,8.988572261
pain,322646.3333,0.429512019
pain,142361,6.321723278
pain,434256,4.217815352
pain,261246,4.380752322
pain,45222.33333,4.216216553
pain,8755130,1.299434862
pain,7768917.333,1.867483475
pain,1394673.667,3.825579114
pain,978646.3333,1.652756223
pain,225423.3333,9.293372091
pain,9924,6.040858397
pain,88269.66667,10.47609285
pain,132956.3333,7.94965708
pain,396879.6667,0.883835461
pain,148521.3333,5.862763139
pain,32280,11.92753529
pain,98480,7.399363908
pain,319641.3333,6.678051024
